API,Module,Service,Page,Button/Action,Implemented,Notes
AccountingService.create_journal_entry,accounting,AccountingService,Journal Entries,New Entry,YES,Double-entry validation enforced
AccountingService.post_journal,accounting,AccountingService,Journal Entries,Post Entry,YES,Makes entries immutable
AccountingService.reverse_journal,accounting,AccountingService,N/A,Reversal API,YES,Called programmatically from returns
AccountingService.get_general_ledger,accounting,AccountingService,Journal Entries,Load Data,YES,Query with running balances
AccountingService.get_trial_balance,accounting,AccountingService,Journal Entries,Trial Balance Button,YES,Shows debit/credit totals
AccountingService.close_period,accounting,AccountingService,N/A,Period Close,YES,Called by admin
SalesReturnService.create_return,sales,SalesReturnService,Sales Returns,New Return,NO,Page not created yet
SalesReturnService.submit_return,sales,SalesReturnService,Sales Returns,Submit,NO,Page not created yet
SalesReturnService.approve_return,sales,SalesReturnService,Sales Returns,Approve,NO,Page not created yet
InventoryCountService.start_count,inventory,InventoryCountService,Inventory Stock,Start Count,YES,Initiates physical count
InventoryCountService.submit_count,inventory,InventoryCountService,Inventory Count Page,Submit Count,NO,Dedicated page needed
InventoryCountService.approve_adjustment,inventory,InventoryCountService,Inventory Count Page,Approve Adjustment,NO,Dedicated page needed
IssueOrderService.create_issue,inventory,IssueOrderService,Inventory Stock,Issue Order,YES,Simplified dialog
IssueOrderService.approve_issue,inventory,IssueOrderService,Issue Orders Page,Approve,NO,Dedicated page needed
IssueOrderService.execute_issue,inventory,IssueOrderService,Issue Orders Page,Execute,NO,Dedicated page needed
AssetService.register_asset,assets,AssetService,Assets Page,New Asset,NO,Assets page not created
AssetService.depreciate_asset,assets,AssetService,Assets Page,Depreciate,NO,Assets page not created
AssetService.dispose_asset,assets,AssetService,Assets Page,Dispose,NO,Assets page not created
ExpenseService.record_expense,finance,ExpenseService,Expenses,New Expense,YES,With workflow
ExpenseService.approve_expense,finance,ExpenseService,Expenses,Approve,YES,Posts to accounting
SalesOrderService.create_order,sales,SalesOrderService,Sales Orders,New Order,YES,Opens dialog
SalesOrderService.submit_order,sales,SalesOrderService,Sales Orders,Submit,YES,Workflow transition
SalesOrderService.approve_finance,finance,SalesOrderService,Finance,Approve,NO,Finance page not refactored
SalesOrderService.release_to_warehouse,inventory,SalesOrderService,Inventory,Warehouse Release,NO,Inventory page not refactored
